"scenario_id","abs_bias_new","mse_new","rmse_new","abs_bias_ref","mse_ref","rmse_ref","method_new","method_ref","abs_bias_reduction","mse_reduction","rel_mse","block"
1,0.0205318836551019,0.00407656638910532,0.0638479944015889,0.00832586934984825,0.00408046571084126,0.0638785230796804,"scap_x_l050","trad",-0.0122060143052537,3.89932173593815e-06,0.999044392965838,"A_independent"
2,0.0204043214992618,0.00450457388055106,0.0671161223593188,0.00834641178850882,0.00455265139939209,0.0674733384337257,"scap_x_l050","trad",-0.012057909710753,4.80775188410358e-05,0.989439666114683,"A_independent"
3,0.0294796298164466,0.00639825460966509,0.0799890905665584,0.0123217301616518,0.00669159517357578,0.0818021709588186,"scap_x_l050","trad",-0.0171578996547948,0.000293340563910693,0.956162834675197,"A_independent"
4,0.0233024440613122,0.00620522106307358,0.0787732255469685,0.00818321439428803,0.00658986671746252,0.0811779940468014,"scap_x_l050","trad",-0.0151192296670242,0.000384645654388946,0.941630738392679,"A_independent"
5,0.0123090440968996,0.0015268082551552,0.0390743938552501,0.00363721798490243,0.00146079813436406,0.0382203889876079,"scap_x_l050","trad",-0.00867182611199721,-6.60101207911466e-05,1.04518770885471,"A_independent"
6,0.00822474536040294,0.00135355942691574,0.0367907519210432,0.000382800573536012,0.00136934530218121,0.0370046659514879,"scap_x_l050","trad",-0.00784194478686692,1.57858752654664e-05,0.988471954268714,"A_independent"
7,0.0167978796133536,0.00197376815209316,0.0444271105530526,0.00636069547886157,0.00188350451240546,0.0433993607372903,"scap_x_l050","trad",-0.0104371841344921,-9.02636396877025e-05,1.0479232404771,"A_independent"
8,0.0131899397035622,0.00202660661241725,0.0450178477097389,0.0036738007692186,0.00208892622967239,0.0457047725043282,"scap_x_l050","trad",-0.0095161389343436,6.23196172551458e-05,0.97016667397349,"A_independent"
9,0.00899859871022325,0.0008757110731838,0.0295924158051315,0.0029001217254997,0.00084285568217748,0.0290319768906198,"scap_x_l050","trad",-0.00609847698472355,-3.28553910063194e-05,1.0389810399349,"A_independent"
10,0.00783734429499732,0.000740571556428252,0.0272134444058126,0.00213669014718327,0.000715565985526758,0.0267500651499535,"scap_x_l050","trad",-0.00570065414781405,-2.50055709014939e-05,1.03494516425775,"A_independent"
