"block","method_new","method_ref","n_scenarios","abs_bias_reduction_mean","abs_bias_reduction_median","abs_bias_reduction_prop_positive","mse_reduction_mean","mse_reduction_median","mse_reduction_prop_positive","rel_mse_mean","rel_mse_median","rel_mse_prop_less_than_1"
"A_independent","scap_x_l050","trad",48,-0.0105672019334009,-0.0113260497911061,0.166666666666667,0.000119065542617974,-3.60266912039428e-05,0.4375,1.0320382955056,1.03575251171005,0.4375
"B_covariate_dependent","ipcw_x","ipcw_marg",96,-0.00262210061364376,-0.00128651223597654,0.364583333333333,-0.00709524949342142,-0.00436995362051727,0.0208333333333333,2.72206552671061,2.33745044331647,0.0208333333333333
"B_covariate_dependent","ps_x_spline","ps_marg_logit",96,0.00552204688463055,0.00579774981162838,0.645833333333333,-0.000355189964768808,-0.000204596027868049,0.364583333333333,1.03885206948348,1.07271697737664,0.364583333333333
"B_covariate_dependent","scap_x_l050","scap_marg_l050",96,-7.16690174125735e-05,-5.47426142761953e-05,0.479166666666667,-8.25164258266219e-06,2.34436265375343e-06,0.541666666666667,0.999887425763233,0.999453410956813,0.541666666666667
"B_covariate_dependent","scap_x_l050","trad",96,-0.000130650775231667,-0.000550174578967963,0.4375,0.000452956594829635,0.000242770336292802,0.75,0.912320136166882,0.901793210236307,0.75
"C_nonlinear_observability","ipcw_x","ipcw_marg",48,5.63111866488804e-05,0.00342958891438736,0.5625,-0.0108451596729944,-0.00729503696681049,0.0208333333333333,4.51017035074417,3.89961133990621,0.0208333333333333
"C_nonlinear_observability","ps_x_spline","ps_marg_logit",48,3.74249327917218e-05,0.00368582787545101,0.625,-0.00112763836404676,-0.000548488917364056,0.270833333333333,1.26173338418188,1.16702465203095,0.270833333333333
"C_nonlinear_observability","ps_x_spline","ps_x_logit",48,0.00173332291629904,0.00287200067502895,0.666666666666667,-0.000933593377490088,-0.000522101312543216,0.270833333333333,1.17877529814548,1.15855400769432,0.270833333333333
"C_nonlinear_observability","scap_x_l050","scap_marg_l050",48,-0.00124213006093576,-0.0010661074166957,0.479166666666667,-0.0001799533021131,-4.74258506237096e-05,0.3125,1.03771009897132,1.02725156471962,0.3125
"C_nonlinear_observability","scap_x_l050","trad",48,-0.00091494180648346,0.00149738503634294,0.583333333333333,0.000327894502195316,0.000148403869016775,0.8125,0.951313942215725,0.929050720777717,0.8125
"C_nonlinear_observability","scap_x_l075","trad",48,-0.0032914634558057,-0.000324968704265544,0.458333333333333,0.000339058398595658,0.000125905464450414,0.645833333333333,0.996495981147268,0.91689355753479,0.645833333333333
"C_nonlinear_observability","scap_x_l100","trad",48,-0.00585573184547144,-0.00116462083208801,0.395833333333333,0.000237767425574517,8.39289053296584e-05,0.541666666666667,1.09078252152327,0.936830682781408,0.541666666666667
