"scenario_id","block","scenario_group","n","x_type","cov_effect","censor_x_effect","target_censor2","H_quantile","H","tau_design","tau_full","tau_H_true","method","n_rep_total","n_rep_valid","fail_rate","mean_tau","sd_tau","mcse_mean_tau","median_tau","q025_tau","q975_tau","bias","abs_bias","mse","rmse","mean_M_hat","sd_M_hat","mean_sum_omega","mean_censor1_rate","mean_censor2_rate","mean_n_d1","mean_n_d2","mean_n_in_H_observed","mean_logloss","mean_brier","mean_cal_intercept","mean_cal_slope","mean_ece","mean_mhat","mean_d2_given_d1","mean_alpha_constant","mean_alpha_logit","mean_alpha_logit_int","mean_alpha_spline","mean_alpha_rf","mean_alpha_gbm","rank_mse","best_by_mse","mse_trad","rmse_trad","abs_bias_trad","rel_mse_vs_trad","rel_rmse_vs_trad","abs_bias_reduction_vs_trad"
1,"A_independent","negative_control_independent_censoring",100,"binary","moderate","none",0.3,0.8,2.96576376828973,-0.5,-0.5,-0.459597623905273,"ipcw_marg",1000,1000,0,-0.451271444163202,0.0633654281326687,0.00200379077810943,-0.454753795275614,-0.565770015367008,-0.320771469685964,0.008326179742071,0.008326179742071,0.00408048757405124,0.0638786942105992,0.799390755462525,0.0517398130601429,0.799390755462525,0.1449,0.29585,85.51,70.415,73.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,0.00408046571084126,0.0638785230796804,0.00832586934984825,1.00000535801831,1.00000267900556,-3.1039222274723e-07
1,"A_independent","negative_control_independent_censoring",100,"binary","moderate","none",0.3,0.8,2.96576376828973,-0.5,-0.5,-0.459597623905273,"ps_x_spline",1000,1000,0,-0.446086378537434,0.0647441210512193,0.00204738887627508,-0.449713861390081,-0.56331286072925,-0.307764045043372,0.0135112453678394,0.0135112453678394,0.0043701631608742,0.0661072095983048,0.794756023957069,0.0524381077885724,0.991693879752853,0.1449,0.29585,85.51,70.415,73.812,0.613846128635113,0.169363491443681,1.60540826747506,0.0846408839038489,0.15615648551565,0.813523584309749,0.823378284562329,NA,NA,NA,NA,NA,NA,9,FALSE,0.00408046571084126,0.0638785230796804,0.00832586934984825,1.07099617312388,1.03488944971136,-0.00518537601799111
1,"A_independent","negative_control_independent_censoring",100,"binary","moderate","none",0.3,0.8,2.96576376828973,-0.5,-0.5,-0.459597623905273,"scap_x_l075",1000,1000,0,-0.432392996040619,0.0603581411841121,0.00190869201475807,-0.436626348459693,-0.537348318648901,-0.308553008982919,0.0272046278646535,0.0272046278646535,0.00437955387924829,0.0661781979147838,0.795904831775934,0.0508822838887641,0.993882374902532,0.1449,0.29585,85.51,70.415,73.812,0.417133537433993,0.129465783971967,-3.00738980572161e-05,1.00003754997989,0.0902067598898361,0.823376706966999,0.823378284562329,0.377464146714226,0.229550037444227,0.0833331988216928,0.0626237525470657,0.174575422886464,0.072453441586325,10,FALSE,0.00408046571084126,0.0638785230796804,0.00832586934984825,1.07329755709315,1.03600075149256,-0.0188787585148053
1,"A_independent","negative_control_independent_censoring",100,"binary","moderate","none",0.3,0.8,2.96576376828973,-0.5,-0.5,-0.459597623905273,"trad",1000,1000,0,-0.451271754555425,0.0633652962683968,0.00200378660819502,-0.454753795275614,-0.565770015367008,-0.320771469685964,0.00832586934984825,0.00832586934984825,0.00408046571084126,0.0638785230796804,0.799390654452424,0.0517398422528924,0.995780214625438,0.1449,0.29585,85.51,70.415,73.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,0.00408046571084126,0.0638785230796804,0.00832586934984825,1,1,0
1,"A_independent","negative_control_independent_censoring",100,"binary","moderate","none",0.3,0.8,2.96576376828973,-0.5,-0.5,-0.459597623905273,"scap_x_l100",1000,1000,0,-0.426090482219969,0.0600967372784539,0.00190042569744663,-0.429997684364933,-0.533940665698304,-0.306726099164997,0.0335071416853044,0.0335071416853044,0.00473073475760306,0.0687803369983243,0.794907422311892,0.0507655232668495,0.993459521701946,0.1449,0.29585,85.51,70.415,73.812,0.417591285220487,0.129746436273834,-2.02784783819917e-05,1.00006573085118,0.0893172745834002,0.823374700353926,0.823378284562329,0.374928777916822,0.228715976682955,0.0900559360700074,0.0617207374562333,0.174582231298189,0.0699963405757943,13,FALSE,0.00408046571084126,0.0638785230796804,0.00832586934984825,1.1593614780377,1.07673649424439,-0.0251812723354562
1,"A_independent","negative_control_independent_censoring",100,"binary","moderate","none",0.3,0.8,2.96576376828973,-0.5,-0.5,-0.459597623905273,"ipcw_x",1000,1000,0,-0.451993820422141,0.0636221133903799,0.00201190787867098,-0.454586953195736,-0.568744540422894,-0.321566660573481,0.00760380348313177,0.00760380348313177,0.00410154336635619,0.0640432929068782,0.810694740716158,0.0623452578514458,0.810694740716158,0.1449,0.29585,85.51,70.415,73.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,FALSE,0.00408046571084126,0.0638785230796804,0.00832586934984825,1.00516550242266,1.00257942449596,0.000722065866716481
1,"A_independent","negative_control_independent_censoring",100,"binary","moderate","none",0.3,0.8,2.96576376828973,-0.5,-0.5,-0.459597623905273,"scap_marg_l050",1000,1000,0,-0.439908001772066,0.0609680617520765,0.00192797939662358,-0.444197191122883,-0.546831858878435,-0.315651755944393,0.0196896221332066,0.0196896221332066,0.00410106866899966,0.0640395867335171,0.79712897138606,0.0511229128518335,0.994593595616509,0.1449,0.29585,85.51,70.415,73.812,0.417599063960101,0.129571633870095,-9.26017158898987e-05,1.00010131199811,0.0887338056260734,0.823374894201871,0.823378284562329,0.323584704376546,0.324548534995907,NA,0.115431122813285,0.16541507994869,0.0710205578655724,6,FALSE,0.00408046571084126,0.0638785230796804,0.00832586934984825,1.00504916831029,1.00252140541252,-0.0113637527833583
1,"A_independent","negative_control_independent_censoring",100,"binary","moderate","none",0.3,0.8,2.96576376828973,-0.5,-0.5,-0.459597623905273,"ps_marg_logit",1000,1000,0,-0.432045192493347,0.0607940460343419,0.00192247653645647,-0.435099333810014,-0.536144384751395,-0.312598287152456,0.027552431411926,0.027552431411926,0.00445135659390134,0.0667184876469884,0.797176375004443,0.0522564961942112,0.996360887244005,0.1449,0.29585,85.51,70.415,73.812,0.456944483937762,0.138592111683837,0.989713527933142,0.350150288764424,0.103390691208519,0.823806583493478,0.823378284562329,NA,NA,NA,NA,NA,NA,11,FALSE,0.00408046571084126,0.0638785230796804,0.00832586934984825,1.09089425309338,1.04445883264655,-0.0192265620620777
1,"A_independent","negative_control_independent_censoring",100,"binary","moderate","none",0.3,0.8,2.96576376828973,-0.5,-0.5,-0.459597623905273,"scap_x_l025",1000,1000,0,-0.445079360470372,0.0617602690736157,0.00195303119177483,-0.447652238963432,-0.555758515006647,-0.318365664222187,0.0145182634349009,0.0145182634349009,0.00402129647837455,0.0634136931456807,0.798233304797161,0.0513315625146176,0.995087364756028,0.1449,0.29585,85.51,70.415,73.812,0.416665510662584,0.129481506762535,-8.36408724167276e-05,1.00014141198788,0.0894156293599978,0.823371797843812,0.823378284562329,0.376335273879694,0.226481186751611,0.0923415284533528,0.058199533952405,0.176201377871504,0.0704410990914327,1,TRUE,0.00408046571084126,0.0638785230796804,0.00832586934984825,0.985499392309681,0.992723220394124,-0.00619239408505262
1,"A_independent","negative_control_independent_censoring",100,"binary","moderate","none",0.3,0.8,2.96576376828973,-0.5,-0.5,-0.459597623905273,"scap_x_nocf_l050",1000,1000,0,-0.458055964278597,0.0641274069039411,0.0020278866625686,-0.461330970612911,-0.577211333982098,-0.328844345320912,0.00154165962667584,0.00154165962667584,0.00411058870631193,0.0641138729629706,0.799993058727746,0.0517686663474638,0.993851468868425,0.1449,0.29585,85.51,70.415,73.812,0.0956284718061857,0.0279847651343954,0.0989111469327863,1.5558874002761,0.0242743463045051,0.817399302791971,0.823378284562329,1.8429260156299e-08,1.43473345188293e-07,0.000412539985898434,0.0149838290285867,0.869031410177286,0.115572058905623,8,FALSE,0.00408046571084126,0.0638785230796804,0.00832586934984825,1.00738224448024,1.00368433507764,0.00678420972317242
1,"A_independent","negative_control_independent_censoring",100,"binary","moderate","none",0.3,0.8,2.96576376828973,-0.5,-0.5,-0.459597623905273,"scap_x_l050",1000,1000,0,-0.439065740250171,0.0604869143657384,0.00191276418031292,-0.442356571412493,-0.547555567547544,-0.315277720199445,0.0205318836551019,0.0205318836551019,0.00407656638910532,0.0638479944015889,0.797161998417647,0.051035582752688,0.994443462499646,0.1449,0.29585,85.51,70.415,73.812,0.416469934835608,0.129248402921585,-7.06584925868405e-05,1.00008695835945,0.0881329454644572,0.823374834264927,0.823378284562329,0.371696352112859,0.231834932353665,0.0900736136683632,0.0595874515193753,0.177980862367548,0.0688267879781895,3,FALSE,0.00408046571084126,0.0638785230796804,0.00832586934984825,0.999044392965838,0.999522082280245,-0.0122060143052537
1,"A_independent","negative_control_independent_censoring",100,"binary","moderate","none",0.3,0.8,2.96576376828973,-0.5,-0.5,-0.459597623905273,"ps_x_logit",1000,1000,0,-0.432132821752957,0.0612163214208777,0.00193583005666929,-0.435899160850688,-0.53540354022297,-0.310031019259748,0.0274648021523158,0.0274648021523158,0.00449800592756175,0.0670671747396724,0.796955718395831,0.0523044161497266,0.996422402607023,0.1449,0.29585,85.51,70.415,73.812,0.466262127577767,0.141372105515322,1.54644707620426,0.198304756390962,0.108426144551802,0.822821981258209,0.823378284562329,NA,NA,NA,NA,NA,NA,12,FALSE,0.00408046571084126,0.0638785230796804,0.00832586934984825,1.1023266083602,1.04991742930585,-0.0191389328024675
1,"A_independent","negative_control_independent_censoring",100,"binary","moderate","none",0.3,0.8,2.96576376828973,-0.5,-0.5,-0.459597623905273,"scap_x_uncal_l050",1000,1000,0,-0.440093309319141,0.0605821467148726,0.00191577569161485,-0.443156465046891,-0.548947233234412,-0.315716544459452,0.0195043145861317,0.0195043145861317,0.00404694459155656,0.0636156002216167,0.797278360697943,0.0511772647168599,0.994437940122206,0.1449,0.29585,85.51,70.415,73.812,0.423627340134668,0.131374850128507,1.42907244111179,0.140448588206137,0.0961471313181032,0.822454009858647,0.823378284562329,0.377949001238904,0.229056651882734,0.0876854641334987,0.0619051679106231,0.171506004936864,0.0718977098973757,2,FALSE,0.00408046571084126,0.0638785230796804,0.00832586934984825,0.991784977093268,0.995884017892278,-0.0111784452362835
