"scenario_id","block","scenario_group","n","n_rep","copula_family","tau_design","copula_param","tau_full","margin","x_type","cov_effect","censor_x_effect","censor_model","target_censor2","H_quantile","total_scenarios"
85,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0,0,0,"exp","binary","moderate","moderate","exp",0.5,0.9,192
86,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0,0,0,"exp","binary","strong","strong","exp",0.5,0.9,192
87,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0,0,0,"exp","normal","moderate","moderate","exp",0.5,0.9,192
88,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0,0,0,"exp","normal","strong","strong","exp",0.5,0.9,192
89,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0,0,0,"exp","binary","moderate","moderate","exp",0.3,0.9,192
90,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0,0,0,"exp","binary","strong","strong","exp",0.3,0.9,192
91,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0,0,0,"exp","normal","moderate","moderate","exp",0.3,0.9,192
92,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0,0,0,"exp","normal","strong","strong","exp",0.3,0.9,192
93,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0,0,0,"exp","binary","moderate","moderate","exp",0.5,0.9,192
94,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0,0,0,"exp","binary","strong","strong","exp",0.5,0.9,192
95,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0,0,0,"exp","normal","moderate","moderate","exp",0.5,0.9,192
96,"B_covariate_dependent","covariate_dependent_censoring",500,1000,"gaussian",0,0,0,"exp","normal","strong","strong","exp",0.5,0.9,192
97,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","moderate","exp",0.3,0.9,192
98,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","strong","strong","exp",0.3,0.9,192
99,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","normal","moderate","moderate","exp",0.3,0.9,192
100,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","normal","strong","strong","exp",0.3,0.9,192
101,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","moderate","exp",0.5,0.9,192
102,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","strong","strong","exp",0.5,0.9,192
103,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","normal","moderate","moderate","exp",0.5,0.9,192
104,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","normal","strong","strong","exp",0.5,0.9,192
105,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","moderate","exp",0.3,0.9,192
106,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","strong","strong","exp",0.3,0.9,192
