"method","H","M_hat","ess","sum_weights"
"trad",529.5,0.764279945200998,19.2765073528295,1
"ps_marg_logit",529.5,0.774661626468401,23.8560360932254,0.999448741730992
"ps_x_logit",529.5,0.753300877819809,22.8725705187084,0.999879361390453
"ps_x_spline",529.5,0.751201525236044,17.7368681792117,0.999999917067066
"scap_x_l050",529.5,0.761785548510701,23.3381844212407,0.995803954662876
"scap_x_l075",529.5,0.761109167513289,24.6276130114633,0.993644566229151
"scap_x_l100",529.5,0.760826707137702,25.0197901256126,0.991520373388818
"ipcw_marg",529.5,0.764766970107607,19.2943010654685,29.0611448640891
"ipcw_x",529.5,0.788723199516113,18.2171501907733,29.9714815816123
