"learner","brier","logloss","cal_intercept","cal_slope","ece","alpha","n_train_observable","event_rate_Delta2_given_Delta1"
"constant",0.222222222222222,0.636514168294813,-0.693147180559743,NA,NA,0.110663819790699,243,0.333333333333333
"marg_logit",0.0929146858598367,0.375133115644324,-0.0395015667178118,0.909572298386293,0.096214067590759,0.264672475894564,243,0.333333333333333
"x_logit",0.0908825929212818,0.386850810752577,-0.167645738977345,0.806808549444623,0.0787887996032717,0.270590430609622,243,0.333333333333333
"x_spline",0.069454437202085,0.271554222172631,-0.0586183076706253,0.741253244459385,0.0271736600597089,0.354073273705116,243,0.333333333333333
