"method","tau_H","M_hat","ess","sum_weights","H","H_quantile","estimate","boot_mean","boot_bias","boot_se","ci_perc_l","ci_perc_median","ci_perc_u","ci_norm_l","ci_norm_u","ci_width_perc","n_boot_valid"
"ipcw_marg",-0.0547706000160341,0.128259431176291,80.9728125351334,82.7273331087077,155,0.9,-0.0547706000160341,-0.0549488655008672,-0.000178265484833046,0.0665339727154328,-0.186475127063912,-0.0546425128208337,0.0729627886422224,-0.185177186538282,0.0756359865062141,0.259437915706135,2000
"ipcw_x",-0.0543692924468431,0.128405870536436,80.9648957946257,82.8217864960011,155,0.9,-0.0543692924468431,-0.0545506165844671,-0.000181324137623992,0.0665431970022909,-0.185984293513184,-0.0540935376760459,0.0733444897527989,-0.184793958571333,0.076055373677647,0.259328783265983,2000
"ps_marg_logit",-0.0263150490277932,0.126478908330717,119.459420468322,0.149180265689161,155,0.9,-0.0263150490277932,-0.0423209901396594,-0.0160059411118662,0.0595935845590118,-0.161239075745735,-0.0416793004577383,0.0729335445357056,-0.143118474763456,0.0904883767078699,0.234172620281441,2000
"ps_x_logit",-0.0282988362880425,0.127976593226831,116.255187716026,0.148922348115426,155,0.9,-0.0282988362880425,-0.0358692112295782,-0.00757037494153569,0.059886898729252,-0.15523289526089,-0.0357576266999573,0.0782803280222755,-0.145677157797376,0.0890794852212914,0.233513223283165,2000
"ps_x_spline",-0.169720893686729,0.127480002307296,96.3805316490304,0.12758938726743,155,0.9,-0.169720893686729,-0.146441217748716,0.0232796759380125,0.0667025707760674,-0.27351859338739,-0.1478633741931,-0.017643866767929,-0.300457932407821,-0.0389838549656366,0.255874726619461,2000
"scap_x_l050",-0.067370166791951,0.127955531427211,106.289953052805,0.142871363913131,155,0.9,-0.067370166791951,-0.0694204495480253,-0.00205028275607436,0.0559096375230506,-0.175369412739387,-0.06848501946016,0.0403220111507858,-0.17695305633713,0.0422127227532282,0.215691423890173,2000
"scap_x_l075",-0.0746241328622372,0.127863898833187,117.979069156388,0.150217064928864,155,0.9,-0.0746241328622372,-0.0771786873229481,-0.00255455446071082,0.0531768831293828,-0.181614110397151,-0.0758471175828924,0.0254265848561288,-0.178850823795828,0.0296025580713531,0.207040695253279,2000
"scap_x_l100",-0.0826787298979025,0.127775484337942,126.368562942558,0.157552177052533,155,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"trad",-0.0552098373440222,0.128148449580023,80.9798361750233,0.128148449580023,155,0.9,-0.0552098373440222,-0.0553806204045304,-0.000170783060508287,0.0665153688483161,-0.186668322264613,-0.054962536570186,0.0727020532414264,-0.185579960286722,0.0751602855986775,0.259370375506039,2000
