"scenario_id","block","scenario_group","n","n_rep","copula_family","tau_design","copula_param","tau_full","margin","x_type","cov_effect","censor_x_effect","censor_model","target_censor2","H_quantile","total_scenarios","H","tau_H_true","tau_untruncated_true","censor_base_rate","p_d1_theory","p_d2_theory","target_censor2_check","N_TRUTH"
20,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",0,0,0,"exp","binary","moderate","none","exp",0.5,0.9,192,4.36153716239518,-0.0720629829638826,-0.018249262000699,0.374334658827605,0.724779271497163,0.499999999999998,0.500000000000002,200000
32,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","none","exp",0.5,0.9,192,4.88652847926736,0.382291402962104,0.454373713899153,0.423406159408537,0.700225206910466,0.499999999999968,0.500000000000032,200000
86,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0,0,0,"exp","binary","strong","strong","exp",0.5,0.9,192,4.50964252850589,-0.0871414488898048,-0.0463580315006844,0.354848568203762,0.694018842852613,0.499999999983421,0.500000000016579,200000
110,"B_covariate_dependent","covariate_dependent_censoring",300,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","strong","strong","exp",0.5,0.9,192,5.02601334476244,0.32451072345586,0.392743169699112,0.410055691363518,0.669334608221171,0.499999999999998,0.500000000000002,200000
163,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",300,1000,"gaussian",0,0,0,"exp","normal","nonlinear","nonlinear_moderate","weibull_nonlinear",0.5,0.9,192,4.2037986664519,-0.0306169160503,0.0429938432992715,0.43190235231851,0.672583579048794,0.50034418589511,0.49965581410489,200000
175,"C_nonlinear_observability","nonlinear_covariate_dependent_censoring",300,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","normal","nonlinear","nonlinear_moderate","weibull_nonlinear",0.5,0.9,192,4.64915400946187,0.435372693085659,0.509509671999206,0.5058704217295,0.642976496394282,0.495753600455046,0.504246399544954,200000
