"scenario_id","block","mse_new","width_new","coverage_new","mse_ref","width_ref","coverage_ref","method_new","method_ref","mse_reduction","rel_mse","width_reduction"
110,"B_covariate_dependent",0.00817214373432665,0.277163881375423,0.93,0.00896446395262302,0.271599202636709,0.936666666666667,"gscap_x_l050","ipcw_x",0.00079232021829637,0.911615438191981,-0.00556467873871402
163,"C_nonlinear_observability",0.0182365823642969,0.430800527907514,0.986666666666667,0.0220990440012577,0.449673109470785,0.973333333333333,"gscap_x_l050","ipcw_x",0.0038624616369608,0.825220419637113,0.018872581563271
164,"C_nonlinear_observability",0.0147611919918014,0.432952325481696,0.993333333333333,0.0212143193622726,0.445494242303576,0.983333333333333,"gscap_x_l050","ipcw_x",0.0064531273704712,0.695812660294565,0.01254191682188
175,"C_nonlinear_observability",0.00897660199984434,0.332922695964848,0.973333333333333,0.00956397066176413,0.319912063017841,0.986666666666667,"gscap_x_l050","ipcw_x",0.000587368661919789,0.938585271463866,-0.0130106329470071
176,"C_nonlinear_observability",0.0113204849734998,0.340614899483215,0.986666666666667,0.010769774802493,0.326571324614035,0.996666666666667,"gscap_x_l050","ipcw_x",-0.0005507101710068,1.05113478982674,-0.01404357486918
20,"A_independent",0.00451182974665432,0.284794911277945,0.986666666666667,0.00450714082859894,0.29490371053841,0.976666666666667,"gscap_x_l050","ipcw_x",-4.68891805538007e-06,1.0010403309401,0.010108799260465
32,"A_independent",0.0035294105171594,0.237540452169798,0.966666666666667,0.00383808976298507,0.237105489415241,0.966666666666667,"gscap_x_l050","ipcw_x",0.00030867924582567,0.919574771595338,-0.000434962754556983
86,"B_covariate_dependent",0.0114086498733032,0.334205830032744,0.953333333333333,0.0138379700533446,0.34695680257871,0.943333333333333,"gscap_x_l050","ipcw_x",0.0024293201800414,0.824445336225147,0.012750972545966
110,"B_covariate_dependent",0.00997849061032164,0.304560079305477,0.876666666666667,0.00896446395262302,0.271599202636709,0.936666666666667,"gscap_x_l100","ipcw_x",-0.00101402665769862,1.11311626250691,-0.032960876668768
163,"C_nonlinear_observability",0.0176524731316906,0.455060254099108,0.986666666666667,0.0220990440012577,0.449673109470785,0.973333333333333,"gscap_x_l100","ipcw_x",0.0044465708695671,0.798788994251786,-0.00538714462832302
164,"C_nonlinear_observability",0.0161669475524766,0.456889127738569,0.993333333333333,0.0212143193622726,0.445494242303576,0.983333333333333,"gscap_x_l100","ipcw_x",0.005047371809796,0.762077127076148,-0.011394885434993
175,"C_nonlinear_observability",0.0119798103253693,0.383857217945183,0.97,0.00956397066176413,0.319912063017841,0.986666666666667,"gscap_x_l100","ipcw_x",-0.00241583966360517,1.25259797933754,-0.063945154927342
