"block","method_new","method_ref","n_scenarios","mse_reduction_mean","mse_reduction_median","mse_reduction_prop_positive","rel_mse_mean","rel_mse_median","rel_mse_prop_less_than_1","width_reduction_mean","coverage_new_mean","coverage_ref_mean"
"A_independent","gscap_x_l050","ipcw_marg",2,-0.00119033562969448,-0.00119033562969448,0,1.42842121288628,1.42842121288628,0,-0.0431887153836601,0.976666666666667,0.953333333333333
"A_independent","gscap_x_l050","trad",2,-0.0011900292385099,-0.0011900292385099,0,1.42821934322424,1.42821934322424,0,-0.0428458617519374,0.976666666666667,0.951666666666667
"A_independent","gscap_x_l100","ipcw_marg",2,-0.0013352788839022,-0.0013352788839022,0,1.55148604780253,1.55148604780253,0,-0.0588491608470778,0.973333333333333,0.953333333333333
"A_independent","gscap_x_l100","trad",2,-0.00133497249271763,-0.00133497249271763,0,1.5511882779763,1.5511882779763,0,-0.0585063072153551,0.973333333333333,0.951666666666667
"A_independent","ipcw_marg","trad",2,3.0639118457393e-07,3.0639118457393e-07,0.5,0.999864738151386,0.999864738151386,0.5,0.000342853631722692,0.953333333333333,0.951666666666667
"A_independent","ipcw_x","ipcw_marg",2,-0.00134233079357962,-0.00134233079357962,0,1.49236144562444,1.49236144562444,0,-0.0480256336366145,0.971666666666667,0.953333333333333
"A_independent","ipcw_x","trad",2,-0.00134202440239505,-0.00134202440239505,0,1.49213963577278,1.49213963577278,0,-0.0476827800048918,0.971666666666667,0.951666666666667
"A_independent","ps_marg_logit","ipcw_marg",2,-0.000381886283148667,-0.000381886283148667,0.5,1.2245016868129,1.2245016868129,0.5,0.025865761374348,0.898333333333333,0.953333333333333
"A_independent","ps_marg_logit","trad",2,-0.000381579891964093,-0.000381579891964093,0.5,1.22423725930359,1.22423725930359,0.5,0.0262086150060707,0.898333333333333,0.951666666666667
"A_independent","ps_x_logit","ipcw_marg",2,-0.000337187170363902,-0.000337187170363902,0.5,1.20063803829754,1.20063803829754,0.5,0.0246255194249742,0.91,0.953333333333333
"A_independent","ps_x_logit","trad",2,-0.000336880779179328,-0.000336880779179328,0.5,1.20038574038879,1.20038574038879,0.5,0.0249683730566969,0.91,0.951666666666667
"A_independent","scap_x_l050","ipcw_marg",2,0.000341411268226919,0.000341411268226919,0.5,0.906023376645558,0.906023376645558,0.5,0.00811141237271347,0.956666666666667,0.953333333333333
"A_independent","scap_x_l050","trad",2,0.000341717659411493,0.000341717659411493,0.5,0.90587142988876,0.90587142988876,0.5,0.00845426600443616,0.956666666666667,0.951666666666667
"A_independent","scap_x_l075","ipcw_marg",2,0.000197568199110312,0.000197568199110312,0.5,0.980949827147261,0.980949827147261,0.5,0.00807470966544388,0.948333333333333,0.953333333333333
"A_independent","scap_x_l075","trad",2,0.000197874590294886,0.000197874590294886,0.5,0.980761159402863,0.980761159402863,0.5,0.00841756329716657,0.948333333333333,0.951666666666667
"A_independent","trad","ipcw_marg",2,-3.0639118457393e-07,-3.0639118457393e-07,0.5,1.00013530999305,1.00013530999305,0.5,-0.000342853631722692,0.951666666666667,0.953333333333333
"B_covariate_dependent","gscap_x_l050","ipcw_marg",2,-0.00625097707526617,-0.00625097707526617,0,2.74806945392136,2.74806945392136,0,-0.0876972264000497,0.941666666666667,0.935
"B_covariate_dependent","gscap_x_l050","trad",2,-0.00625205958730575,-0.00625205958730575,0,2.74888019128003,2.74888019128003,0,-0.0873360714217424,0.941666666666667,0.931666666666667
"B_covariate_dependent","gscap_x_l100","ipcw_marg",2,-0.00678665297000143,-0.00678665297000143,0,2.92320909064094,2.92320909064094,0,-0.105916580804306,0.916666666666667,0.935
"B_covariate_dependent","gscap_x_l100","trad",2,-0.006787735482041,-0.006787735482041,0,2.9241843189301,2.9241843189301,0,-0.105555425825999,0.916666666666667,0.931666666666667
"B_covariate_dependent","ipcw_marg","trad",2,-1.08251203957493e-06,-1.08251203957493e-06,0,1.000324701303,1.000324701303,0,0.000361154978307299,0.935,0.931666666666667
"B_covariate_dependent","ipcw_x","ipcw_marg",2,-0.00786179727443508,-0.00786179727443508,0,3.19014271118998,3.19014271118998,0,-0.0912903733036761,0.94,0.935
"B_covariate_dependent","ipcw_x","trad",2,-0.00786287978647466,-0.00786287978647466,0,3.1910380301203,3.1910380301203,0,-0.0909292183253688,0.94,0.931666666666667
"B_covariate_dependent","ps_marg_logit","ipcw_marg",2,0.000931161059678542,0.000931161059678542,1,0.736693605768688,0.736693605768688,1,0.0219650781850443,0.946666666666667,0.935
