"scenario_id","block","method_new","method_ref","mse_new","mse_ref","mse_reduction","rel_mse","width_new","width_ref","width_reduction","coverage_new","coverage_ref"
20,"A_independent","ipcw_marg","trad",0.00327349582393254,0.00327337319157944,-1.22632353103877e-07,1.00003746360281,0.237581941185735,0.238577100922591,0.000995159736855877,0.95,0.953333333333333
20,"A_independent","ipcw_x","trad",0.00450714082859894,0.00327337319157944,-0.0012337676370195,1.37691016722239,0.29490371053841,0.238577100922591,-0.0563266096158197,0.976666666666667,0.953333333333333
20,"A_independent","ps_marg_logit","trad",0.00213884823213922,0.00327337319157944,0.00113452495944022,0.653408000542462,0.203726087025608,0.238577100922591,0.0348510138969828,0.973333333333333,0.953333333333333
20,"A_independent","ps_x_logit","trad",0.0022481880142252,0.00327337319157944,0.00102518517735424,0.68681078589161,0.204688369700953,0.238577100922591,0.0338887312216378,0.98,0.953333333333333
20,"A_independent","scap_x_l050","trad",0.00238032951240983,0.00327337319157944,0.000893043679169608,0.727179387468893,0.2299773597634,0.238577100922591,0.00859974115919038,0.966666666666667,0.953333333333333
20,"A_independent","scap_x_l075","trad",0.002116237232903,0.00327337319157944,0.00115713595867644,0.646500447412136,0.227162527521951,0.238577100922591,0.0114145734006394,0.97,0.953333333333333
20,"A_independent","ipcw_x","ipcw_marg",0.00450714082859894,0.00327349582393254,-0.0012336450046664,1.37685858513923,0.29490371053841,0.237581941185735,-0.0573217693526756,0.976666666666667,0.95
20,"A_independent","ps_marg_logit","ipcw_marg",0.00213884823213922,0.00327349582393254,0.00113464759179333,0.653383522441693,0.203726087025608,0.237581941185735,0.0338558541601269,0.973333333333333,0.95
20,"A_independent","ps_x_logit","ipcw_marg",0.0022481880142252,0.00327349582393254,0.00102530780970734,0.686785056449039,0.204688369700953,0.237581941185735,0.0328935714847819,0.98,0.95
20,"A_independent","scap_x_l050","ipcw_marg",0.00238032951240983,0.00327349582393254,0.000893166311522712,0.727152145729722,0.2299773597634,0.237581941185735,0.0076045814223345,0.966666666666667,0.95
20,"A_independent","scap_x_l075","ipcw_marg",0.002116237232903,0.00327349582393254,0.00115725859102954,0.6464762280835,0.227162527521951,0.237581941185735,0.0104194136637836,0.97,0.95
20,"A_independent","trad","ipcw_marg",0.00327337319157944,0.00327349582393254,1.22632353103877e-07,0.999962537800657,0.238577100922591,0.237581941185735,-0.000995159736855877,0.953333333333333,0.95
32,"A_independent","ipcw_marg","trad",0.00238707318049222,0.00238780859521447,7.35414722251738e-07,0.99969201269996,0.198375991494687,0.198066539021277,-0.000309452473410493,0.956666666666667,0.95
32,"A_independent","ipcw_x","trad",0.00383808976298507,0.00238780859521447,-0.0014502811677706,1.60736910432318,0.237105489415241,0.198066539021277,-0.0390389503939639,0.966666666666667,0.95
32,"A_independent","ps_marg_logit","trad",0.00434384034409288,0.00238780859521447,-0.0019560317488784,1.81917443165193,0.18126582509859,0.198066539021277,0.0168007139226871,0.826666666666667,0.95
32,"A_independent","ps_x_logit","trad",0.00411082014096211,0.00238780859521447,-0.00172301154574764,1.72158696019472,0.181483830638295,0.198066539021277,0.0165827083829821,0.82,0.95
32,"A_independent","scap_x_l050","trad",0.00259657272024709,0.00238780859521447,-0.000208764125032617,1.08742917060061,0.190536221185273,0.198066539021277,0.00753031783600427,0.946666666666667,0.95
32,"A_independent","scap_x_l075","trad",0.00314976402055071,0.00238780859521447,-0.000761955425336231,1.31910238821625,0.191795612135922,0.198066539021277,0.00627092688535474,0.936666666666667,0.95
32,"A_independent","ipcw_x","ipcw_marg",0.00383808976298507,0.00238707318049222,-0.00145101658249285,1.60786430610965,0.237105489415241,0.198375991494687,-0.0387294979205534,0.966666666666667,0.956666666666667
32,"A_independent","ps_marg_logit","ipcw_marg",0.00434384034409288,0.00238707318049222,-0.00195676716360065,1.81973488688653,0.18126582509859,0.198375991494687,0.0171101663960976,0.826666666666667,0.956666666666667
32,"A_independent","ps_x_logit","ipcw_marg",0.00411082014096211,0.00238707318049222,-0.00172374696046989,1.72211735046784,0.181483830638295,0.198375991494687,0.0168921608563926,0.82,0.956666666666667
32,"A_independent","scap_x_l050","ipcw_marg",0.00259657272024709,0.00238707318049222,-0.000209499539754869,1.087764188156,0.190536221185273,0.198375991494687,0.00783977030941477,0.946666666666667,0.956666666666667
32,"A_independent","scap_x_l075","ipcw_marg",0.00314976402055071,0.00238707318049222,-0.000762690840058483,1.31950878016283,0.191795612135922,0.198375991494687,0.00658037935876524,0.936666666666667,0.956666666666667
32,"A_independent","trad","ipcw_marg",0.00238780859521447,0.00238707318049222,-7.35414722251738e-07,1.00030808218544,0.198066539021277,0.198375991494687,0.000309452473410493,0.95,0.956666666666667
86,"B_covariate_dependent","ipcw_marg","trad",0.00376687259377072,0.00376674439911803,-1.28194652682274e-07,1.00003403327625,0.233373397528046,0.23287437013721,-0.000499027390835821,0.94,0.94
