"block","method","n_scenarios","coverage_mean","coverage_median","mean_width_mean","mean_width_median","bias_mean","bias_median","mse_mean","mse_median","mean_n_boot_valid_mean"
"A_independent","scap_x_l050",2,0.956666666666667,0.956666666666667,0.209867553967498,0.209867553967498,-0.0124062973789634,-0.0124062973789634,0.00248887323398546,0.00248887323398546,500
"A_independent","scap_x_l075",2,0.948333333333333,0.948333333333333,0.209904256674767,0.209904256674767,-0.0171950066432632,-0.0171950066432632,0.00263271630310207,0.00263271630310207,500
"A_independent","ipcw_marg",2,0.953333333333333,0.953333333333333,0.217978966340211,0.217978966340211,-0.00306298354695149,-0.00306298354695149,0.00283028450221238,0.00283028450221238,500
"A_independent","trad",2,0.951666666666667,0.951666666666667,0.218321819971934,0.218321819971934,-0.00309056734819695,-0.00309056734819695,0.00283059089339696,0.00283059089339696,500
"A_independent","ps_x_logit",2,0.91,0.91,0.193353446915237,0.193353446915237,-0.0225171502792237,-0.0225171502792237,0.00316747167257629,0.00316747167257629,500
"A_independent","ps_marg_logit",2,0.898333333333333,0.898333333333333,0.192113204965863,0.192113204965863,-0.0234351505994207,-0.0234351505994207,0.00321217078536105,0.00321217078536105,500
"A_independent","gscap_x_l050",2,0.976666666666667,0.976666666666667,0.261167681723871,0.261167681723871,-0.00931408248864533,-0.00931408248864533,0.00402062013190686,0.00402062013190686,500
"A_independent","gscap_x_l100",2,0.973333333333333,0.973333333333333,0.276828127187289,0.276828127187289,-0.0175371977408856,-0.0175371977408856,0.00416556338611459,0.00416556338611459,500
"A_independent","ipcw_x",2,0.971666666666667,0.971666666666667,0.266004599976826,0.266004599976826,-0.000884729795206255,-0.000884729795206255,0.00417261529579201,0.00417261529579201,500
"B_covariate_dependent","ps_marg_logit",2,0.946666666666667,0.946666666666667,0.196022551118989,0.196022551118989,0.00383221565678955,0.00383221565678955,0.0026082586688702,0.0026082586688702,500
"B_covariate_dependent","scap_x_l075",2,0.953333333333333,0.953333333333333,0.210786590423441,0.210786590423441,0.00692430777006343,0.00692430777006343,0.00263782114910968,0.00263782114910968,500
"B_covariate_dependent","ps_x_logit",2,0.95,0.95,0.196862271273623,0.196862271273623,0.0040788490045311,0.0040788490045311,0.00265798947490951,0.00265798947490951,500
"B_covariate_dependent","scap_x_l050",2,0.953333333333333,0.953333333333333,0.211691490166568,0.211691490166568,0.0108067261248703,0.0108067261248703,0.00281058889661511,0.00281058889661511,500
"B_covariate_dependent","trad",2,0.931666666666667,0.931666666666667,0.218348784282341,0.218348784282341,0.0189216239450885,0.0189216239450885,0.00353833721650917,0.00353833721650917,500
"B_covariate_dependent","ipcw_marg",2,0.935,0.935,0.217987629304033,0.217987629304033,0.0189401123424979,0.0189401123424979,0.00353941972854874,0.00353941972854874,500
"B_covariate_dependent","gscap_x_l050",2,0.941666666666667,0.941666666666667,0.305684855704083,0.305684855704083,-0.00898542657655102,-0.00898542657655102,0.00979039680381491,0.00979039680381491,500
"B_covariate_dependent","gscap_x_l100",2,0.916666666666667,0.916666666666667,0.323904210108339,0.323904210108339,-0.0165973417687015,-0.0165973417687015,0.0103260726985502,0.0103260726985502,500
"B_covariate_dependent","ipcw_x",2,0.94,0.94,0.30927800260771,0.30927800260771,0.00184143431439812,0.00184143431439812,0.0114012170029838,0.0114012170029838,500
"C_nonlinear_observability","scap_x_l050",4,0.9525,0.953333333333333,0.204595224493846,0.202968533789895,-0.0120545513099363,-0.0124374368776602,0.00278617354189096,0.00276221996975287,500
"C_nonlinear_observability","scap_x_l075",4,0.946666666666667,0.945,0.204611590654094,0.203446113019557,-0.0153326458636583,-0.0147146123528872,0.00283658116994342,0.00279356756343767,500
"C_nonlinear_observability","ps_x_logit",4,0.936666666666667,0.94,0.196833535109769,0.196811358328041,-0.0198851878806694,-0.019684411403342,0.00299666339221407,0.00298090766897516,500
"C_nonlinear_observability","ps_marg_logit",4,0.933333333333333,0.93,0.196023215597197,0.196874123591205,-0.0200876026370385,-0.0175644305328755,0.00301854595626458,0.0030896437874838,500
"C_nonlinear_observability","ipcw_marg",4,0.940833333333333,0.94,0.209144977558776,0.207535521276948,-0.00559042633482221,-0.00508494433535564,0.00303321132100575,0.00307847925840131,500
"C_nonlinear_observability","trad",4,0.9375,0.933333333333333,0.209172682719751,0.207346833205938,-0.00559988446320282,-0.00509682195832011,0.00303326475113971,0.00307841506344375,500
"C_nonlinear_observability","gscap_x_l050",4,0.985,0.986666666666667,0.384322612209318,0.385707713695365,-0.0219138577418077,-0.023412164353161,0.0133237153323606,0.0130408384826506,500
"C_nonlinear_observability","gscap_x_l100",4,0.980833333333333,0.98,0.421201884126117,0.422030595410358,-0.0343772209951392,-0.0315413733840265,0.0156561095832263,0.0164960774379227,500
"C_nonlinear_observability","ipcw_x",4,0.985,0.985,0.385412684851559,0.386032783458806,-0.002538469216513,-0.00615516488180725,0.0159117772069469,0.0159920470823828,500
