"block","method_new","method_ref","n_scenarios","mse_reduction_mean","mse_reduction_median","mse_reduction_prop_positive","rel_mse_mean","rel_mse_median","rel_mse_prop_less_than_1","width_reduction_mean","coverage_new_mean","coverage_ref_mean"
"A_independent","gscap_x_l050","ipcw_x",2,0.000151995163885145,0.000151995163885145,0.5,0.960307551267719,0.960307551267719,0.5,0.00483691825295403,0.976666666666667,0.971666666666667
"B_covariate_dependent","gscap_x_l050","ipcw_x",2,0.00161082019916888,0.00161082019916888,1,0.868030387208564,0.868030387208564,1,0.00359314690362597,0.941666666666667,0.94
"C_nonlinear_observability","gscap_x_l050","ipcw_x",4,0.00258806187458625,0.0022249151494403,0.75,0.877688285305571,0.88190284555049,0.75,0.00109007264224098,0.985,0.985
"A_independent","gscap_x_l100","ipcw_x",2,7.05190967741488e-06,7.05190967741488e-06,0.5,1.0193278852554,1.0193278852554,0.5,-0.0108235272104635,0.973333333333333,0.971666666666667
"B_covariate_dependent","gscap_x_l100","ipcw_x",2,0.00107514430443364,0.00107514430443364,0.5,0.942223613460467,0.942223613460467,0.5,-0.01462620750063,0.916666666666667,0.94
"C_nonlinear_observability","gscap_x_l100","ipcw_x",4,0.000255667623720532,0.00101536560298096,0.5,1.09393146483262,1.02569348679466,0.5,-0.035789199274558,0.980833333333333,0.985
"A_independent","gscap_x_l050","ipcw_marg",2,-0.00119033562969448,-0.00119033562969448,0,1.42842121288628,1.42842121288628,0,-0.0431887153836605,0.976666666666667,0.953333333333333
"B_covariate_dependent","gscap_x_l050","ipcw_marg",2,-0.00625097707526618,-0.00625097707526618,0,2.74806945392136,2.74806945392136,0,-0.08769722640005,0.941666666666667,0.935
"C_nonlinear_observability","gscap_x_l050","ipcw_marg",4,-0.0102905040113549,-0.00992753052787436,0,4.52561644497389,4.62458522158768,0,-0.175177634650542,0.985,0.940833333333333
"A_independent","gscap_x_l100","ipcw_marg",2,-0.00133527888390221,-0.00133527888390221,0,1.55148604780253,1.55148604780253,0,-0.058849160847078,0.973333333333333,0.953333333333333
"B_covariate_dependent","gscap_x_l100","ipcw_marg",2,-0.00678665297000143,-0.00678665297000143,0,2.92320909064094,2.92320909064094,0,-0.105916580804306,0.916666666666667,0.935
"C_nonlinear_observability","gscap_x_l100","ipcw_marg",4,-0.0126228982622206,-0.0128894597197959,0,5.60025664167494,5.3330612312183,0,-0.212056906567341,0.980833333333333,0.940833333333333
"A_independent","gscap_x_l050","trad",2,-0.00119002923850991,-0.00119002923850991,0,1.42821934322424,1.42821934322424,0,-0.0428458617519375,0.976666666666667,0.951666666666666
"B_covariate_dependent","gscap_x_l050","trad",2,-0.00625205958730576,-0.00625205958730576,0,2.74888019128004,2.74888019128004,0,-0.087336071421743,0.941666666666667,0.931666666666666
"C_nonlinear_observability","gscap_x_l050","trad",4,-0.0102904505812209,-0.00992751971806697,0,4.52555848215841,4.62436581337687,0,-0.175149929489568,0.985,0.9375
"A_independent","gscap_x_l100","trad",2,-0.00133497249271764,-0.00133497249271764,0,1.5511882779763,1.5511882779763,0,-0.058506307215355,0.973333333333333,0.951666666666666
"B_covariate_dependent","gscap_x_l100","trad",2,-0.00678773548204101,-0.00678773548204101,0,2.9241843189301,2.9241843189301,0,-0.105555425825999,0.916666666666667,0.931666666666666
"C_nonlinear_observability","gscap_x_l100","trad",4,-0.0126228448320866,-0.0128893625098792,0,5.6002045846707,5.33277309088512,0,-0.212029201406366,0.980833333333333,0.9375
"A_independent","gscap_x_l050","scap_x_l050",2,-0.0015317468979214,-0.0015317468979214,0,1.62347479855505,1.62347479855505,0,-0.051300127756374,0.976666666666667,0.956666666666667
"B_covariate_dependent","gscap_x_l050","scap_x_l050",2,-0.00697980790719981,-0.00697980790719981,0,3.46282849570883,3.46282849570883,0,-0.0939933655375155,0.941666666666667,0.953333333333333
"C_nonlinear_observability","gscap_x_l050","scap_x_l050",4,-0.0105375417904697,-0.0101685029658626,0,4.84596912335516,4.94739079676441,0,-0.179727387715472,0.985,0.9525
"A_independent","gscap_x_l100","scap_x_l050",2,-0.00167669015212913,-0.00167669015212913,0,1.66566153398447,1.66566153398447,0,-0.0669605732197915,0.973333333333333,0.956666666666667
"B_covariate_dependent","gscap_x_l100","scap_x_l050",2,-0.00751548380193506,-0.00751548380193506,0,3.70830743507564,3.70830743507564,0,-0.112212719941771,0.916666666666667,0.953333333333333
"C_nonlinear_observability","gscap_x_l100","scap_x_l050",4,-0.0128699360413354,-0.0133430601797516,0,5.95111776517105,5.63553073380707,0,-0.216606659632271,0.980833333333333,0.9525
"A_independent","gscap_x_l050","scap_x_l075",2,-0.00138790382880479,-0.00138790382880479,0,1.61565642344763,1.61565642344763,0,-0.0512634250491045,0.976666666666667,0.948333333333333
"B_covariate_dependent","gscap_x_l050","scap_x_l075",2,-0.00715257565470524,-0.00715257565470524,0,3.68708914355735,3.68708914355735,0,-0.094898265280642,0.941666666666667,0.953333333333333
"C_nonlinear_observability","gscap_x_l050","scap_x_l075",4,-0.0104871341624172,-0.0101612437062014,0,4.68992826194026,4.65340052694385,0,-0.179711021555225,0.985,0.946666666666667
"A_independent","gscap_x_l100","scap_x_l075",2,-0.00153284708301252,-0.00153284708301252,0,1.5829954551135,1.5829954551135,0,-0.066923870512522,0.973333333333333,0.948333333333333
"B_covariate_dependent","gscap_x_l100","scap_x_l075",2,-0.00768825154944049,-0.00768825154944049,0,3.94095754884531,3.94095754884531,0,-0.113117619684898,0.916666666666667,0.953333333333333
"C_nonlinear_observability","gscap_x_l100","scap_x_l075",4,-0.0128195284132829,-0.0134616977821341,0,5.70521870212838,5.30250095005468,0,-0.216590293472024,0.980833333333333,0.946666666666667
