"method","estimate","boot_mean","boot_bias","boot_se","ci_perc_l","ci_perc_median","ci_perc_u","ci_norm_l","ci_norm_u","ci_width_perc","n_boot_valid"
"ipcw_marg",0.043198314525162,0.0512799637830307,0.00808164925786872,0.166145702265997,-0.265201608323197,0.0576012341845382,0.36718785688483,-0.282447261916192,0.368843890966516,0.632389465208028,2000
"ipcw_x",0.0129142406594536,0.0319705545340601,0.0190563138746065,0.168180287633728,-0.297768549887215,0.0379828346810136,0.349588430684504,-0.316719123102654,0.342547604421561,0.647356980571719,2000
"ps_marg_logit",-0.0868766467626168,-0.0540259391404174,0.0328507076221994,0.155399082016273,-0.356233234960045,-0.0510618801905975,0.240566770578987,-0.391458847514512,0.217705553989279,0.596800005539032,2000
"ps_x_logit",-0.0534847121978715,-0.0238334233385294,0.0296512888593421,0.17960634631857,-0.37533337641077,-0.0230673846531007,0.319928504233614,-0.405513150982269,0.298543726586526,0.695261880644384,2000
"ps_x_spline",-0.0672094067157327,-0.0124263198579949,0.0547830868577378,0.196229468115415,-0.391537061260596,-0.00983320845744316,0.365014515103081,-0.451819164221946,0.317400350790481,0.756551576363677,2000
"scap_x_l050",-0.0206055091700102,0.00227209528791005,0.0228776044579202,0.157184736601402,-0.301797035327879,0.0101986617914392,0.294483295238178,-0.328687592908758,0.287476574568738,0.596280330566057,2000
"scap_x_l075",-0.0502748993457051,-0.020705317144621,0.029569582201084,0.155216262631707,-0.319905113985563,-0.0151034666051693,0.26666755667191,-0.354498774103851,0.253948975412441,0.586572670657473,2000
"trad",0.043344552090991,0.0514714891854752,0.00812693709448416,0.166203908528539,-0.265550558211593,0.0575256830128011,0.367212541157682,-0.282415108624945,0.369104212806927,0.632763099369276,2000
